Info 0    [20:43:3.395] Starting TS Server
Info 1    [20:43:3.395] Version: 3.9.3
Info 2    [20:43:3.395] Arguments: /usr/bin/node /home/evanmeek/.emacs.d/var/.cache/lsp/npm/typescript/bin/tsserver --logFile /home/evanmeek/Documents/site/.log/tsserver.log --logVerbosity info --cancellationPipeName /tmp/82889eda512ad51e8876fbc05811b550/tscancellation*
Info 3    [20:43:3.395] Platform: linux NodeVersion: 15 CaseSensitive: true
Info 4    [20:43:3.407] Search path: /home/evanmeek/Documents/site/js
Info 5    [20:43:3.408] For info: /home/evanmeek/Documents/site/js/main.js :: No config files found.
Info 6    [20:43:3.412] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 7    [20:43:4.40] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 1 structureChanged: true Elapsed: 628ms
Info 8    [20:43:4.40] Project '/dev/null/inferredProject1*' (Inferred)
Info 9    [20:43:4.40] 	Files (6)

Info 10   [20:43:4.40] -----------------------------------------------
Info 11   [20:43:12.336] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 12   [20:43:12.336] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 2 structureChanged: false Elapsed: 0ms
Info 13   [20:43:14.586] Before ensureProjectForOpenFiles:
Info 14   [20:43:14.586] After ensureProjectForOpenFiles:
Info 15   [20:43:14.586] got projects updated in background, updating diagnostics for /home/evanmeek/Documents/site/js/main.js
